Fecha, Casos_Confirmados, Activos, Altas, Casos_Sospechosos, Casos_Descartados, Muertes
27/03/2020,3,3,0,29,30,0
28/03/2020,3,3,0,32,35,0
29/03/2020,4,4,0,34,35,0
30/03/2020,4,4,0,37,37,0
31/03/2020,4,4,0,46,38,0
01/04/2020,4,4,0,61,38,0
02/04/2020,5,5,0,63,51,0
03/04/2020,5,5,0,72,63,0
04/04/2020,6,6,0,90,65,0
05/04/2020,9,9,0,76,81,0
06/04/2020,12,12,0,91,86,0
07/04/2020,13,13,0,105,90,0
08/04/2020,14,14,0,129,101,0
09/04/2020,14,14,0,88,157,0
10/04/2020,15,15,0,86,173,0
11/04/2020,20,20,0,102,183,0
12/04/2020,21,18,3,97,206,0
13/04/2020,21,18,3,122,225,0
14/04/2020,23,20,3,131,232,0
15/04/2020,28,25,3,140,268,0
16/04/2020,31,26,5,162,282,0
17/04/2020,31,26,5,146,323,0
18/04/2020,33,23,10,171,323,0
19/04/2020,36,26,10,148,373,0
20/04/2020,38,27,11,181,380,0
21/04/2020,40,29,11,161,455,0
22/04/2020,47,36,11,136,516,0
23/04/2020,47,36,11,160,540,0
24/04/2020,49,34,15,135,598,0
25/04/2020,50,35,15,157,633,0
26/04/2020,50,34,16,139,666,0
27/04/2020,50,34,16,150,699,0
28/04/2020,51,35,16,178,711,0
29/04/2020,52,33,19,138,787,0
30/04/2020,53,33,20,140,823,0
01/05/2020,53,32,21,133,872,0
02/05/2020,54,33,21,86,922,0
03/05/2020,54,33,21,106,956,0
04/05/2020,54,32,22,98,980,0
05/05/2020,54,27,27,82,1023,0
06/05/2020,54,24,30,59,1084,0
07/05/2020,54,16,37,62,1119,1
08/05/2020,54,14,39,58,1146,1
09/05/2020,54,14,39,41,1194,1
10/02/2020,54,14,39,55,1212,1